Title,Link,Date,Description
AMD’s Brand Value Surpasses Intel’s for the First Time,https://www.technewsworld.com/story/amds-brand-value-surpasses-intels-for-the-first-time-179337.html,"August 26, 2024","This is a ""man bites dog"" story because, for much of the two companies’ existence, Intel's brand value ranked among the highest in the world, consistently outpacing that of AMD. Now, in the latest Kantar Brandz report listing the 100 most valuable companies, AMD came in 41st and Intel 48th."
"Global AI Safety Hampered by Indecision, Regulatory Delays",https://www.technewsworld.com/story/global-ai-safety-hampered-by-indecision-regulatory-delays-179335.html,"August 22, 2024","Governments seek to create security safeguards around artificial intelligence, but roadblocks and indecision are delaying cross-nation agreements on priorities and obstacles to avoid."
Cuban and Stewart on the Future of AI and Ending Abusive Drug Prices,https://www.technewsworld.com/story/cuban-and-stewart-on-the-future-of-ai-and-ending-abusive-drug-prices-179331.html,"August 19, 2024","Until now, I haven’t been a fan of billionaire businessperson Mark Cuban. However, based on what I saw last week in his interview with Jon Stewart on ""The Daily Show,"" I couldn’t have been more wrong about him."
Meet the EdYOU Adaptable AI Meta-Human Learning Solution,https://www.technewsworld.com/story/meet-the-edyou-adaptable-ai-meta-human-learning-solution-179328.html,"August 16, 2024","A new AI-powered approach to personalized computer instruction could help mitigate the impact of teacher shortages, understaffed classrooms, and lackluster self-learning, issues that have worsened since the pandemic."
Experts Weigh In on Refusing or Paying After a Ransomware Attack,https://www.technewsworld.com/story/experts-weigh-in-on-refusing-or-paying-after-a-ransomware-attack-179321.html,"August 15, 2024",Cybersecurity experts and government officials have long supported the policy of not paying ransoms due to its potential to curb criminal activity and reduce attacks. Paying ransoms is risky and unreliable and does not guarantee that cybercriminals will restore access or decrypt files.
No title found,No link found,No date found,No description found
AI-Capable PCs Capture 14% of Global Q2 Shipments,https://www.technewsworld.com/story/ai-capable-pcs-capture-14-of-global-q2-shipments-179325.html,"August 14, 2024","Although AI-capable PCs were introduced in the middle of the second quarter, they still captured 14% of global shipments. Canalys reported that 8.8 million units were shipped during the period, 40% running Microsoft Windows and 60% running macOS."
Current Backyard Smart Grill: Perfect for Condo and Apartment Living,https://www.technewsworld.com/story/current-backyard-smart-grill-perfect-for-condo-and-apartment-living-179316.html,"August 13, 2024",The Current Backyard Model G Dual-Zone Grill is an ideal electric alternative. It offers gas-like barbecue performance and smart features for everyday grilling.
"Monopoly Preservation, Risk Aversion Hurt Google AI Development, Says Gmail Creator",https://www.technewsworld.com/story/monopoly-preservation-risk-aversion-hurt-google-ai-development-says-gmail-creator-179323.html,"August 13, 2024","Paul Buchheit pointed out that Google had good reason to worry about AI caving in its search goldmine. AI is an inherently disruptive technology because if you actually give people the right answer, they won't need to click on an entire page full of ads, he explained."
Database Admins See Brighter Job Prospects Amid IT Challenges,https://www.technewsworld.com/story/database-admins-see-brighter-job-prospects-amid-it-challenges-179313.html,"August 8, 2024","Despite its somewhat unglamorous reputation, database management and administration is an industry experiencing rapid growth, persistent talent shortages, and significant changes brought by AI. This field has much potential for those willing to cash in on its viable career path."
Meta and Nvidia: The Future of Social Media and Personal Technology,https://www.technewsworld.com/story/meta-and-nvidia-the-future-of-social-media-and-personal-technology-179307.html,"August 5, 2024","The discussion at Siggraph between Mark Zuckerberg and Jensen Huang was fascinating, especially in terms of what they didn’t discuss -- the future of Facebook with AI. Based on their conversation, I believe I can fill that gap."
New Qualcomm Chip Could Supercharge Sub-$100 Global 5G Phone Market,https://www.technewsworld.com/story/new-qualcomm-chip-could-supercharge-sub-100-global-5g-phone-market-179305.html,"July 31, 2024","The Snapdragon 4s Gen 2 platform promises all-day battery life, improved camera capabilities, and 1 Gbps peak 5G speeds -- seven times faster than LTE platforms in the same price tier."
A Glimpse Into the Future of AI Electric Cars,https://www.technewsworld.com/story/a-glimpse-into-the-future-of-ai-electric-cars-179300.html,"July 29, 2024","Let's discuss the rapid advancements in autonomous driving, the current state of EVs, and the role of AI in the automotive industry. Then, we’ll close with my Product of the Week: an impressive automotive diagnostic tool."
Surge in ‘Shadow AI’ Accounts Poses Fresh Risks to Corporate Data,https://www.technewsworld.com/story/surge-in-shadow-ai-accounts-poses-fresh-risks-to-corporate-data-179299.html,"July 25, 2024","The rapid rise of AI mimics previous transformative shifts, such as the internet and cloud computing. Just as early cloud adopters navigated new challenges, today's companies must contend with the complexities introduced by widespread AI adoption."
AI-Powered Robot Aims To Slash Cost of E-Commerce Deliveries,https://www.technewsworld.com/story/ai-powered-robot-aims-to-slash-cost-of-e-commerce-deliveries-178060.html,"July 24, 2024",The four-wheel robot made by Vayu Robotics eschews expensive LiDAR technology typically used by on-road driverless vehicles in favor of a transformer-based mobility foundation model with a powerful passive sensor.
AV Tech Innovations Transforming Higher Education,https://www.technewsworld.com/story/av-tech-innovations-transforming-higher-education-179279.html,"July 19, 2024","Panasonic Connect's advanced AV technology is revolutionizing higher education, enhancing student engagement, and driving innovative learning experiences."
"Workers Using AI To Snag Pay Raises, Promotions: Survey",https://www.technewsworld.com/story/workers-using-ai-to-snag-pay-raises-promotions-survey-179273.html,"July 16, 2024","Workers told researchers that ChatGPT has helped them complete tasks more quickly, be more productive, and reduce stress levels."
Embedded Analytics Made Easy: Go From Concept to Launch in 10 Days,https://www.technewsworld.com/story/embedded-analytics-made-easy-go-from-concept-to-launch-in-10-days-179270.html,"July 15, 2024","This webinar promises to equip organizations with the practical knowledge and strategies to harness the modern data stack, integrate advanced data security, and create highly interactive user experiences."
"AMD Enters AI PC Race, Closes Microsoft Copilot+ Launch Gaps",https://www.technewsworld.com/story/amd-enters-ai-pc-race-closes-microsoft-copilot-launch-gaps-179271.html,"July 15, 2024",AMD just announced it will close that gap with a class of PCs that have the graphics and processor performance demanded by creators. These are machines with discrete graphics cards and the power to meet the needs of those who demand the highest performance yet still want all the advantages that AI b...
Meta Wants To Get Small With Its AI Language Models,https://www.technewsworld.com/story/meta-wants-to-get-small-with-its-ai-language-models-179267.html,"July 10, 2024","While large language AI models continue to make headlines, small language models are where the action is. At least, that's what Meta appears to be betting on."
No title found,No link found,No date found,No description found
"Acer Chromebook Plus 516 GE Redefines Gaming Style, Computing Performance",https://www.technewsworld.com/story/acer-chromebook-plus-516-ge-redefines-gaming-style-computing-performance-179261.html,"July 9, 2024",The Acer Chromebook Plus 516 GE serves a dual purpose as a very capable cloud-based gaming computer and a feature-rich general-purpose laptop for business and personal use.
Charging Station Software Essential to Sustainable EV Growth,https://www.technewsworld.com/story/charging-station-software-essential-to-sustainable-ev-growth-179266.html,"July 9, 2024","If electric vehicles are going to start crowding gasoline burners off America's roads, not only will its charging infrastructure need a big boost, but so will the software at its charging stations."
Bring Your Own AI to Work Creates a Field Day for Cyberattackers,https://www.technewsworld.com/story/bring-your-own-ai-to-work-creates-a-field-day-for-cyberattackers-179260.html,"July 8, 2024",Security risk management software firm Panorays shed new light on the worsening network security problems workers cause. This internal threat occurs when employees use their organization's network to experiment with generative AI and other AI tools.
Compelling New Headphones From Heavys and Sonos,https://www.technewsworld.com/story/compelling-new-headphones-from-heavys-and-sonos-179255.html,"July 2, 2024",Mark Vena reviews new headphones from Heavys and Sonos. Both showcase distinct features and sound profiles that cater to different listening preferences.
"AI, IoT, Quantum Security Among Top 10 Emerging Technologies: Forrester",https://www.technewsworld.com/story/ai-iot-quantum-security-among-top-10-emerging-technologies-forrester-179253.html,"June 26, 2024","Forrester identified top emerging technologies in its latest report, highlighting their potential benefits, use cases, and risks for businesses."
How Apple Outperformed Google and Microsoft in AI Rollout,https://www.technewsworld.com/story/how-apple-outperformed-google-and-microsoft-in-ai-rollout-179239.html,"June 17, 2024","Over the last several weeks, we’ve had Google I/O, which highlighted the rollout of Google’s Gemini AI engine for smartphones; Microsoft Build, which focused on its Copilot+ rollout for PCs; and Apple’s WWDC24 video, which showcased the rollout of AI on both PCs and smartphones. Let’s explor..."
Apple Goes All-In on a Privacy-Based AI Experience,https://www.technewsworld.com/story/apple-goes-all-in-on-a-privacy-based-ai-experience-179236.html,"June 13, 2024","Prior to WWDC24, AI meant artificial intelligence to most consumers. In classic Apple-esque fashion, we now know the Cupertino-based company wants to redefine AI as ""Apple Intelligence."""
Apple Intelligence Headlines WWDC24 Kickoff Event,https://www.technewsworld.com/story/apple-intelligence-headlines-wwdc24-kickoff-event-179232.html,"June 11, 2024","Apple's answer to the likes of Google Gemini and Microsoft Copilot, didn't exhibit many tricks not already seen on those other platforms, but it did excel in two areas: integration and privacy."
Rethinking AI Priorities: Lessons From IBM Think and Intel’s Lunar Lake,https://www.technewsworld.com/story/rethinking-ai-priorities-lessons-from-ibm-think-and-intels-lunar-lake-179226.html,"June 10, 2024","I watched IBM Think last week. As I listened to IBM CEO Arvind Krishna, it struck me that we are not thinking AI through. We are throwing AI at everything without prioritizing where we need it to focus."
Our Entire Approach to AI Is Flawed,https://www.technewsworld.com/story/our-entire-approach-to-ai-is-flawed-179215.html,"June 3, 2024","When we talk about AI, we typically focus on productivity, but our real problem is poor decision support, not the lack of productivity or performance."
Google Joins AI Laptop Party With Chromebook Plus,https://www.technewsworld.com/story/google-joins-ai-laptop-party-with-chromebook-plus-179210.html,"May 29, 2024","Google is joining the AI laptop party by integrating new smart features into its new generation of Chromebook Plus computers. The new features include ""Help Me Write,"" AI-generated videoconferencing backgrounds, Magic Editor for photos, and direct access to Google's gen AI agent Gemini directly from..."
"For Infineon, AI Is the Key to IoT’s Potential",https://www.technewsworld.com/story/for-infineon-ai-is-the-key-to-iots-potential-179209.html,"May 28, 2024","While the overall market seems obsessed with how the likes of Apple and Google are battling over AI and its comprehension in their smartphone, PC, and tablet operating systems, Infineon has quietly played a leadership role in putting the pieces in place to optimize AI at the edge in the IoT space."
"Microsoft Hits Hard With AI, but Is the PC the Right Platform?",https://www.technewsworld.com/story/microsoft-hits-hard-with-ai-but-is-the-pc-the-right-platform-179207.html,"May 27, 2024","Having Google I/O immediately followed by Microsoft Build, with both conferences focused on AI, provided an interesting contrast between the two companies’ approaches to AI. Microsoft is all about PCs for AI integration, while Google is all about smartphones."
Think Tank Issues Guidance for AI Policymakers,https://www.technewsworld.com/story/think-tank-issues-guidance-for-ai-policymakers-179205.html,"May 22, 2024",How should policymakers handle the many concerns raised by the introduction of artificial intelligence into society? The Center for Data Innovation has some answers to that question.
No title found,No link found,No date found,No description found
Google I/O: Did Microsoft Just Become the New Netscape?,https://www.technewsworld.com/story/google-i-o-did-microsoft-just-become-the-new-netscape-179199.html,"May 20, 2024","Microsoft blindsided Google with Copilot on search but failed to market the advantage successfully or advance it significantly enough to avoid a huge pushback from Google. That pushback happened last week at Google I/O, and it was an impressive showing."
Does MediaTek Have an Identity Crisis?,https://www.technewsworld.com/story/does-mediatek-have-an-identity-crisis-179195.html,"May 15, 2024","As with any large company in a rapidly evolving industry, the question of an ""identity crisis"" can be multifaceted, involving public perception, market positioning, and internal strategy. This discussion explores whether MediaTek is experiencing such a crisis and, if so, what the implications might ..."
"AI-Enhanced Searches May Pose Threat to Creators, Publishers",https://www.technewsworld.com/story/ai-enhanced-searches-may-pose-threat-to-creators-publishers-179193.html,"May 14, 2024","Anyone who's done a Google search knows it's already stuffing AI summaries into its search results, but it will be upping its ante in AI when a program called Search Generative Experience (SGE) exits its current experimental phase. The feature could be a nightmare for content creators."
Human-Centered AI and How To Prevent Widespread Future Unemployment,https://www.technewsworld.com/story/human-centered-ai-and-how-to-prevent-widespread-future-unemployment-179188.html,"May 13, 2024","We are approaching a significant catastrophe of massive unemployment coupled with an equally enormous lack of jobs to employ those who have been displaced. In addition, the rate of change not only means that most people who are now in school will find their education wasn’t adequate for the availa..."
Apple Muscles Up iPad Pro With M4 Silicon and Tandem OLED Display,https://www.technewsworld.com/story/apple-muscles-up-ipad-pro-with-m4-silicon-and-tandem-oled-display-179181.html,"May 8, 2024","In addition to the iPad Pro models with its next-generation M4 silicon, Apple introduced two new iPad Airs, an 11-inch and, for the first time, a 13-inch model, both with M2 silicon under the hood."
New DOT Safety Rule Will Save Electric Car Drivers’ Lives,https://www.technewsworld.com/story/new-dot-safety-rule-will-save-electric-car-drivers-lives-179166.html,"May 6, 2024","The ruling will make electric cars, which can shrug off accidents that would stop gas cars, a great deal safer. It will also reduce accidents with other vehicles and massively reduce the number of pedestrians killed on roads."
Copyleaks Study Finds Explosive Growth of AI Content on the Web,https://www.technewsworld.com/story/copyleaks-study-finds-explosive-growth-of-ai-content-on-the-web-179161.html,"May 1, 2024","Since ChatGPT arrived on the net in 2022, AI-generated content has soared more than 8,000%, according to a study released Tuesday by Copyleaks. The study, which covers a period from 2013 to March 2024, found a surge of 8,362% in AI content on the internet from November 2022, when ChatGPT-3.5 was rel..."
Upgrading to Ubuntu 24.04 LTS Noble Numbat: Step-by-Step Guide,https://www.technewsworld.com/story/upgrading-to-ubuntu-24-04-lts-noble-numbat-step-by-step-guide-177359.html,"April 30, 2024","This step-by-step guide on upgrading to Ubuntu 24.04 LTS Noble Numbat covers preparation, execution, and post-upgrade steps for a smooth transition."
AI Forcing Many Companies To Rethink Their Data-Crunching Ways,https://www.technewsworld.com/story/ai-forcing-many-companies-to-rethink-their-data-crunching-ways-179157.html,"April 30, 2024",Gartner revealed that 61% of organizations are reevaluating their data and analytics (D&A) operating models because of the impact of disruptive AI technologies.
Will AI-Enabled Processors Spark a PC Supercycle This Year?,https://www.technewsworld.com/story/will-ai-enabled-processors-spark-a-pc-supercycle-this-year-179151.html,"April 25, 2024","Tech industry analyst Mark Vena explores how Qualcomm, AMD, and Intel are pivotal in driving AI-enabled advancements in PCs, potentially triggering a supercycle in sales amidst fluctuating market conditions and technological innovations."
